id,date,time,zone,currency,importance,event,actual,forecast,previous
512242,11/12/2024,17:00,russia,RUB,medium,CPI (MoM)  (Nov),1.4%,1.3%,0.8%
512240,11/12/2024,17:00,russia,RUB,medium,CPI (YoY)  (Nov),8.9%,8.7%,8.5%
513249,11/12/2024,18:30,brazil,BRL,low,Foreign Exchange Flows,-2.641B,,0.389B
513299,11/12/2024,19:00,united states,USD,high,10-Year Note Auction,4.235%,,4.347%
513429,11/12/2024,19:00,germany,EUR,medium,German Buba Balz Speaks,,,
512246,11/12/2024,20:00,united states,USD,medium,Federal Budget Balance  (Nov),-367.0B,-349.0B,-257.0B
512247,11/12/2024,20:00,argentina,ARS,low,CPI (MoM)  (Nov),2.6%,2.8%,2.7%
512245,11/12/2024,20:00,argentina,ARS,low,CPI (YoY)  (Nov),166.0%,167.0%,193.0%
494657,11/12/2024,22:30,brazil,BRL,medium,Interest Rate Decision,12.25%,12.00%,11.25%
512248,11/12/2024,22:45,new zealand,NZD,low,Electronic Card Retail Sales (YoY)  (Nov),-2.3%,,-1.1%
512249,11/12/2024,22:45,new zealand,NZD,medium,Electronic Card Retail Sales (MoM)  (Nov),0.0%,,0.7%
513430,11/12/2024,23:15,australia,AUD,low,RBA Assistant Governor Jones Speaks,,,
173,12/12/2024,All Day,kenya,,,Kenya - Independence Day,,,
550,12/12/2024,All Day,mexico,,,Mexico - Bank Holiday,,,
513265,12/12/2024,00:50,japan,JPY,low,Foreign Bonds Buying,-640.8B,,922.4B
513266,12/12/2024,00:50,japan,JPY,low,Foreign Investments in Japanese Stocks,482.3B,,-607.7B
512253,12/12/2024,01:30,australia,AUD,medium,Employment Change  (Nov),35.6K,26.0K,12.2K
512252,12/12/2024,01:30,australia,AUD,medium,Full Employment Change  (Nov),52.6K,,8.9K
512254,12/12/2024,01:30,australia,AUD,low,Participation Rate  (Nov),67.0%,67.1%,67.1%
512251,12/12/2024,01:30,australia,AUD,medium,Unemployment Rate  (Nov),3.9%,4.2%,4.1%
513092,12/12/2024,05:00,thailand,THB,low,Consumer Confidence  (Nov),56.9,,56.0
512257,12/12/2024,06:30,sweden,SEK,low,Unemployment Rate  (Nov),6.9%,,6.9%
512256,12/12/2024,06:30,netherlands,EUR,low,Dutch Trade Balance  (Oct),13.00B,,13.93B
513612,12/12/2024,07:00,estonia,EUR,low,Estonian Current Account % of GDP  (Q3),-3.00%,,-1.60%
512264,12/12/2024,08:00,sweden,SEK,low,CPIF Ex Energy MoM (MoM)  (Nov),-0.20%,,-0.20%
512267,12/12/2024,08:00,sweden,SEK,low,CPIF Ex Energy YoY (YoY)  (Nov),2.40%,,2.40%
512259,12/12/2024,08:00,sweden,SEK,medium,CPI (YoY)  (Nov),1.6%,1.6%,1.6%
512258,12/12/2024,08:00,sweden,SEK,medium,CPI (MoM)  (Nov),0.3%,0.3%,0.2%
512269,12/12/2024,08:00,sweden,SEK,low,CPIF (CPI at constant interest rates) (MoM)  (Nov),0.5%,0.5%,0.4%
512260,12/12/2024,08:00,sweden,SEK,low,CPIF (CPI at constant interest rates) (YoY)  (Nov),1.8%,1.9%,1.5%
512268,12/12/2024,08:00,türkiye,TRY,low,Current Account (USD)  (Oct),1.88B,1.30B,2.99B
490094,12/12/2024,09:30,switzerland,CHF,high,SNB Interest Rate Decision  (Q4),0.50%,0.75%,1.00%
513431,12/12/2024,09:30,switzerland,CHF,medium,SNB Monetary Policy Assessment,,,
512277,12/12/2024,09:30,hong kong,HKD,low,Industrial Production (YoY)  (Q3),-0.10%,,0.70%
512278,12/12/2024,09:30,hong kong,HKD,low,PPI (YoY)  (Q3),3.20%,,3.10%
513432,12/12/2024,10:00,united states,USD,medium,IEA Monthly Report,,,
513439,12/12/2024,10:00,italy,EUR,low,Italian Quarterly Unemployment Rate,6.1%,6.6%,6.8%
513438,12/12/2024,10:00,switzerland,CHF,medium,SNB Press Conference,,,
513035,12/12/2024,10:30,south africa,ZAR,low,PPI (MoM)  (Nov),0.0%,,-0.7%
513036,12/12/2024,10:30,south africa,ZAR,low,PPI (YoY)  (Nov),-0.1%,,-0.7%
513392,12/12/2024,11:00,namibia,NAD,low,GDP (YoY)  (Q3),2.80%,,2.70%
512279,12/12/2024,11:30,india,INR,medium,CPI (YoY)  (Nov),5.48%,5.53%,6.21%
512280,12/12/2024,11:30,india,INR,low,Cumulative Industrial Production  (Oct),4.00%,,4.00%
512282,12/12/2024,11:30,india,INR,low,Industrial Production (YoY)  (Oct),3.5%,3.5%,3.1%
512281,12/12/2024,11:30,india,INR,low,Manufacturing Output (MoM)  (Oct),4.1%,,3.9%
513393,12/12/2024,11:40,italy,EUR,low,Italian 15-Year BTP Auction,3.19%,,3.93%
513395,12/12/2024,11:40,italy,EUR,low,Italian 3-Year BTP Auction,2.35%,,2.73%
513394,12/12/2024,11:40,italy,EUR,low,Italian 30-Year BTP Auction,3.940%,,4.040%
513396,12/12/2024,11:40,italy,EUR,low,Italian 7-Year BTP Auction,2.92%,,3.23%
512290,12/12/2024,12:00,united kingdom,GBP,low,Thomson Reuters IPSOS PCSI  (Dec),47.1,,49.9
512302,12/12/2024,12:00,sweden,SEK,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),53.31,,53.59
512296,12/12/2024,12:00,italy,EUR,low,Italy Thomson Reuters IPSOS PCSI  (Dec),44.97,,43.91
512284,12/12/2024,12:00,germany,EUR,low,Germany Thomson Reuters IPSOS PCSI  (Dec),42.48,,46.43
512289,12/12/2024,12:00,france,EUR,low,France Thomson Reuters IPSOS PCSI  (Dec),38.51,,42.17
512292,12/12/2024,12:00,israel,ILS,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),43.50,,43.95
512288,12/12/2024,12:00,spain,EUR,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),49.46,,48.44
512305,12/12/2024,12:00,ireland,EUR,low,Irish CPI (MoM)  (Nov),-0.5%,,0.3%
512283,12/12/2024,12:00,ireland,EUR,low,Irish CPI (YoY)  (Nov),1.0%,,0.7%
512287,12/12/2024,12:00,ireland,EUR,low,Irish HICP (MoM)  (Nov),-0.5%,-0.5%,0.3%
512286,12/12/2024,12:00,ireland,EUR,low,Irish HICP (YoY)  (Nov),0.5%,0.5%,0.1%
512285,12/12/2024,12:00,belgium,EUR,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),45.53,,48.87
512301,12/12/2024,12:00,saudi arabia,SAR,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),75.86,,72.89
